# Published images that no git tag names. Read by .hanzo/scripts/orphans.sh.
#
# Each line states that an image was published without a receipt, that this is
# KNOWN, and that it cannot be repaired now. It is not permission for the next
# one: orphans.sh is red for any published version neither tagged nor listed
# here, so a new untagged image fails the release that follows it.
#
# TAGGED MEANS TAGGED ON A REMOTE. Two entries below (1.801.319, 1.801.340) look
# tagged from a checkout and are not: the tag exists only in a local clone and
# was never pushed anywhere. A ref on one machine is not a receipt, and reading
# `git tag` instead of the remotes is how they stayed invisible.
#
# WHY NONE OF THESE WERE TAGGED RETROACTIVELY. Fifteen of the 82 carry a real
# commit in org.opencontainers.image.revision, and several name a commit that is
# on main — those could be tagged, and deliberately were not. Here a v* tag is
# not a label, it is a RECEIPT: hanzo.yml defines it as minted only after build
# and smoke pass ("a RECEIPT for a proven image, never a build trigger"). Minting
# one now would assert that a pipeline proved something it never ran. That trades
# a gap everyone can see for a false claim nobody can detect later, which is the
# more expensive of the two mistakes.
#
# The image -> commit link those fifteen DO have is already recorded where it
# belongs — the image's own label, which .hanzo/scripts/image-revision.sh reads —
# and is repeated in column two so it is greppable without a registry call.
# Recording it costs nothing and claims nothing. The other 67 report
# revision=unknown: their commit is not recoverable from the image, and NO
# mapping is guessed for them. "We cannot tell what this was built from" is true
# and useful; a plausible-looking guess is not.
#
# v1.801.480 is the one that matters most: it served api.hanzo.ai in production
# and reported {"revision":"unknown"} on its own health endpoint. What source ran
# in production during that window is not knowable from anything that survives.
#
# 328 and 330-336 are the images hanzo.yml already names — the detached release
# that terminated the pod running it, mid-pipeline, before it could tag. That
# this list did not stop at 336 is the point: the same hole kept producing
# images, and 485 was published untagged while this file was being written.
#
#   <version>  <commit or "unknown">  # <built>  <why>
v0.2.2         unknown  # 2026-06-19T04:59:38Z  no commit recorded — unreconstructable
v1.763.0       unknown  # 2026-02-14T18:11:34Z  no commit recorded — unreconstructable
v1.785.0       unknown  # 2026-06-19T06:00:06Z  no commit recorded — unreconstructable
v1.785.1       unknown  # 2026-06-19T06:02:38Z  no commit recorded — unreconstructable
v1.785.27      5fa3647a3be1e5660ad293dcefbf80da6bebfe57  # 2026-06-30T21:33:14Z  names a commit not in main history (rebased away)
v1.797.0       3b137a474ba4ba840807824d080e932078d26c50  # 2026-07-03T21:58:04Z  names a commit absent from forge and every fetched mirror
v1.799.1       49a20d69aca5f2a4f6b8f28594e35e3f8631d0ea  # 2026-07-04T00:06:08Z  names a commit absent from forge and every fetched mirror
v1.801.210     unknown  # 2026-07-25T01:44:00Z  no commit recorded — unreconstructable
v1.801.211     unknown  # 2026-07-25T14:02:37Z  no commit recorded — unreconstructable
v1.801.212     unknown  # 2026-07-25T15:48:37Z  no commit recorded — unreconstructable
v1.801.213     unknown  # 2026-07-25T20:16:12Z  no commit recorded — unreconstructable
v1.801.214     unknown  # 2026-07-25T21:07:41Z  no commit recorded — unreconstructable
v1.801.215     unknown  # 2026-07-25T21:46:34Z  no commit recorded — unreconstructable
v1.801.216     unknown  # 2026-07-25T22:07:18Z  no commit recorded — unreconstructable
v1.801.244     unknown  # 2026-07-27T15:34:03Z  no commit recorded — unreconstructable
v1.801.252     unknown  # 2026-07-27T19:19:07Z  no commit recorded — unreconstructable
v1.801.258     unknown  # 2026-07-27T21:11:40Z  no commit recorded — unreconstructable
v1.801.263     unknown  # 2026-07-28T00:15:43Z  no commit recorded — unreconstructable
